Index, Selection, Crossover, Mutation, Evaluation, Termination, Elitism, Generation, Fitness, Chromosome
0, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 26.5, "1265 1277 1250 1268 1241 1247 1251 1259 1253 1260 1264 1251 1255 1279 1273 1256 1242 1252 1274 1254 1258 1251 1273 1246 1249 1274 1252 1263 1265 1263 1257 1274 1246 1241 1264 1272 1245 1254 1250 1257"
1, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 37.55, "1267 1257 1267 1279 1267 1280 1267 1267 1258 1264 1273 1254 1277 1276 1266 1271 1272 1270 1278 1257 1242 1273 1273 1258 1246 1250 1255 1274 1257 1248 1263 1278 1253 1270 1276 1278 1241 1276 1246 1264"
2, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 29.125, "1266 1241 1247 1269 1259 1254 1257 1250 1269 1256 1278 1251 1267 1271 1272 1266 1241 1258 1280 1259 1271 1263 1267 1251 1264 1271 1263 1257 1272 1240 1262 1246 1256 1245 1245 1271 1258 1241 1250 1248"
3, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 34.5, "1267 1257 1267 1279 1267 1261 1267 1267 1258 1264 1273 1254 1277 1276 1252 1271 1272 1270 1278 1277 1242 1273 1273 1258 1246 1269 1249 1269 1263 1241 1252 1264 1252 1243 1245 1271 1260 1241 1243 1248"
4, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 29.85, "1266 1241 1267 1269 1259 1254 1257 1250 1269 1256 1259 1251 1267 1271 1272 1266 1241 1243 1280 1259 1271 1263 1267 1251 1264 1271 1260 1257 1272 1240 1262 1246 1256 1245 1244 1278 1247 1252 1275 1275"
5, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 37.45, "1242 1267 1267 1259 1278 1267 1279 1280 1252 1279 1254 1270 1247 1249 1248 1256 1270 1251 1280 1264 1247 1251 1247 1241 1262 1277 1240 1257 1272 1258 1261 1262 1269 1261 1277 1270 1269 1277 1280 1270"
6, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 42.75, "1267 1257 1267 1279 1267 1261 1267 1267 1258 1264 1273 1254 1277 1276 1252 1271 1272 1270 1278 1277 1243 1274 1270 1267 1254 1241 1267 1254 1241 1276 1241 1248 1245 1275 1279 1268 1260 1255 1262 1259"
7, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 32.775, "1246 1259 1249 1271 1274 1256 1274 1256 1259 1279 1253 1243 1272 1259 1275 1268 1262 1257 1257 1249 1267 1240 1250 1272 1244 1256 1268 1261 1266 1246 1246 1253 1261 1267 1251 1261 1247 1245 1244 1247"
8, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 24.3, "1258 1271 1265 1272 1260 1247 1280 1249 1274 1241 1265 1259 1247 1265 1254 1279 1247 1250 1260 1256 1266 1254 1266 1273 1247 1264 1263 1259 1262 1257 1276 1257 1256 1252 1261 1249 1278 1276 1246 1264"
9, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 27.05, "1265 1277 1250 1268 1241 1247 1251 1259 1253 1260 1264 1251 1255 1279 1273 1256 1242 1252 1274 1254 1253 1251 1273 1246 1246 1250 1255 1274 1257 1248 1263 1278 1253 1246 1276 1278 1241 1253 1263 1272"
10, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 31.925, "1242 1244 1277 1256 1258 1241 1260 1243 1244 1245 1269 1279 1247 1243 1277 1247 1240 1265 1259 1256 1266 1254 1266 1269 1247 1264 1263 1259 1262 1257 1276 1257 1256 1252 1249 1249 1278 1276 1246 1264"
11, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 28.35, "1249 1266 1260 1243 1253 1265 1263 1257 1245 1248 1277 1271 1244 1251 1272 1273 1249 1280 1277 1279 1276 1248 1274 1276 1253 1256 1250 1240 1265 1246 1240 1276 1263 1257 1257 1251 1265 1244 1280 1270"
12, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 29.45, "1249 1266 1260 1243 1253 1265 1263 1257 1245 1248 1277 1271 1244 1251 1272 1273 1249 1250 1260 1256 1266 1254 1266 1273 1247 1264 1263 1259 1262 1257 1276 1257 1256 1252 1249 1249 1278 1276 1246 1264"
13, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 26.475, "1258 1271 1265 1272 1260 1247 1280 1249 1274 1241 1265 1259 1247 1265 1254 1279 1247 1250 1260 1274 1259 1274 1274 1276 1253 1256 1250 1240 1265 1246 1240 1276 1263 1257 1257 1251 1265 1244 1280 1254"
14, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 32.1, "1266 1241 1267 1269 1259 1254 1257 1250 1269 1256 1259 1251 1267 1271 1272 1266 1241 1258 1280 1259 1271 1263 1267 1251 1264 1271 1256 1270 1249 1276 1253 1253 1270 1280 1263 1250 1275 1277 1259 1274"
15, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 30.9, "1242 1244 1277 1256 1258 1241 1260 1243 1244 1245 1269 1279 1247 1243 1277 1247 1272 1265 1259 1264 1247 1261 1240 1249 1273 1269 1249 1269 1263 1241 1252 1264 1252 1243 1245 1271 1260 1241 1243 1248"
