Index, Selection, Crossover, Mutation, Evaluation, Termination, Elitism, Generation, Fitness, Chromosome
0, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 30.925, "1263 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1262 1245 1268 1256 1251 1265 1244 1259 1277 1253 1240 1271 1251 1249 1269 1268 1254 1253 1269 1272 1264 1262 1272"
1, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 36.275, "1263 1252 1253 1242 1242 1246 1264 1273 1243 1266 1257 1260 1268 1269 1269 1259 1280 1253 1259 1259 1255 1280 1256 1261 1255 1247 1278 1245 1271 1245 1244 1254 1261 1252 1273 1265 1248 1272 1257 1242"
2, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 39.85, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1255 1251 1275 1240 1250 1252 1269 1251 1266 1278 1257 1276 1279 1243 1247 1251 1263 1277 1259 1280 1275 1259 1266 1262 1243 1249 1280 1269 1248 1280 1248"
3, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 40.95, "1262 1255 1253 1262 1279 1242 1265 1254 1253 1254 1266 1276 1258 1241 1240 1266 1244 1251 1261 1246 1276 1279 1243 1247 1251 1263 1277 1259 1280 1275 1259 1266 1262 1243 1249 1280 1270 1248 1267 1248"
4, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 56.25, "1258 1268 1250 1273 1263 1266 1276 1276 1245 1270 1280 1250 1272 1257 1260 1271 1271 1276 1278 1252 1257 1271 1243 1241 1277 1250 1240 1247 1247 1247 1243 1243 1249 1261 1276 1264 1254 1270 1255 1262"
5, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 35.975, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1252 1272 1275 1240 1250 1250 1269 1251 1266 1278 1257 1271 1246 1246 1276 1261 1256 1244 1277 1252 1265 1269 1245 1268 1260 1244 1251 1266 1256 1252 1279"
6, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 47.125, "1242 1266 1255 1267 1257 1276 1264 1246 1250 1250 1247 1262 1251 1269 1243 1253 1263 1241 1240 1246 1263 1245 1243 1241 1277 1250 1240 1247 1247 1247 1243 1243 1257 1261 1276 1264 1254 1270 1255 1262"
7, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 46.45, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1255 1251 1275 1240 1250 1250 1269 1251 1266 1278 1257 1278 1246 1246 1276 1261 1243 1278 1247 1259 1246 1268 1268 1265 1271 1250 1271 1272 1246 1254 1262"
8, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 35.3, "1259 1248 1276 1251 1280 1263 1261 1242 1251 1265 1259 1251 1273 1259 1240 1259 1253 1277 1276 1260 1260 1242 1243 1256 1242 1242 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1256 1248 1243 1260"
9, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 45.15, "1262 1255 1253 1243 1249 1246 1248 1258 1243 1266 1252 1260 1257 1280 1257 1241 1255 1242 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1250 1279 1266 1245 1240 1267 1257 1275 1258 1247"
10, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 46.25, "1263 1252 1262 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1262 1245 1268 1270 1251 1265 1244 1252 1264 1280 1241 1264 1275 1270 1260 1277 1276 1271 1274 1247 1262 1257 1263"
11, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 47.875, "1278 1249 1262 1251 1276 1265 1269 1242 1264 1278 1258 1273 1279 1268 1275 1250 1245 1275 1244 1270 1241 1249 1263 1260 1265 1258 1273 1275 1240 1244 1266 1249 1265 1252 1259 1241 1256 1248 1245 1240"
12, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 30.35, "1244 1257 1257 1273 1257 1277 1248 1250 1243 1266 1259 1263 1273 1259 1240 1259 1253 1277 1276 1260 1260 1242 1243 1256 1242 1242 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1256 1248 1243 1260"
13, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 33.775, "1242 1266 1255 1267 1257 1276 1264 1246 1250 1250 1247 1262 1251 1269 1243 1253 1263 1241 1240 1246 1263 1245 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1256 1244 1264 1265 1246 1251 1268 1267"
14, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 33.825, "1275 1265 1240 1248 1253 1262 1255 1255 1259 1275 1276 1255 1252 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1271 1268 1279"
15, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 30.6, "1263 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1242 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1279 1266 1245 1240 1267 1257 1275 1258 1247"
16, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 34.175, "1249 1258 1258 1243 1249 1246 1248 1258 1243 1266 1252 1260 1257 1280 1278 1241 1255 1242 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1257 1248 1241 1270 1250 1266 1272 1262 1260"
17, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 39.225, "1259 1248 1276 1251 1258 1263 1261 1242 1251 1265 1259 1263 1273 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1271 1268 1279"
18, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 41.7, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1255 1251 1275 1240 1250 1250 1269 1251 1266 1278 1257 1278 1246 1243 1247 1251 1263 1277 1259 1280 1275 1259 1266 1262 1243 1249 1280 1270 1248 1267 1248"
19, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 1, 25.175, "1278 1249 1262 1251 1276 1265 1246 1277 1258 1249 1259 1244 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1256 1269 1264 1265 1269 1257 1280 1259"
20, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 25.175, "1278 1249 1262 1251 1276 1265 1246 1277 1258 1249 1259 1244 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1256 1269 1264 1265 1269 1257 1280 1259"
21, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 47.475, "1263 1252 1253 1242 1242 1246 1264 1273 1243 1266 1257 1260 1268 1269 1269 1259 1280 1253 1259 1259 1255 1280 1256 1261 1255 1244 1278 1245 1271 1245 1272 1254 1261 1252 1273 1265 1248 1272 1257 1242"
22, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 37.775, "1278 1249 1262 1251 1276 1265 1246 1277 1258 1249 1259 1259 1255 1273 1250 1247 1243 1262 1245 1268 1256 1251 1265 1244 1259 1277 1253 1240 1271 1251 1249 1269 1268 1254 1253 1269 1272 1264 1262 1272"
23, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 30.35, "1249 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1262 1245 1268 1256 1251 1265 1244 1259 1277 1253 1240 1271 1251 1249 1269 1268 1254 1253 1269 1259 1264 1262 1272"
24, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 50.85, "1275 1254 1248 1262 1266 1264 1256 1276 1266 1255 1251 1275 1240 1250 1252 1269 1251 1266 1278 1257 1276 1279 1243 1254 1251 1263 1277 1259 1280 1275 1259 1266 1262 1243 1249 1280 1270 1248 1267 1248"
25, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 39.15, "1278 1249 1262 1251 1276 1265 1246 1277 1258 1249 1259 1250 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1256 1269 1264 1265 1269 1256 1252 1279"
26, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 39.35, "1249 1258 1264 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1242 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1279 1266 1245 1274 1267 1257 1275 1258 1247"
27, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 39.225, "1259 1248 1276 1251 1258 1263 1261 1242 1251 1265 1259 1263 1273 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1271 1268 1279"
28, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 25.7, "1275 1265 1240 1248 1253 1246 1255 1255 1259 1275 1276 1255 1252 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1244 1268 1279"
29, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 40.525, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1252 1272 1275 1240 1250 1250 1269 1251 1266 1278 1257 1255 1280 1256 1261 1255 1247 1278 1245 1252 1245 1244 1254 1261 1252 1273 1265 1248 1272 1257 1242"
30, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 34.15, "1262 1255 1253 1262 1279 1242 1265 1254 1253 1254 1266 1276 1258 1241 1240 1266 1244 1269 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1279 1266 1245 1240 1267 1257 1275 1258 1247"
31, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 34.675, "1244 1257 1257 1273 1257 1277 1248 1250 1243 1266 1261 1270 1269 1259 1240 1259 1253 1277 1276 1260 1260 1242 1243 1256 1242 1267 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1256 1248 1243 1260"
32, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 32.325, "1262 1255 1253 1243 1249 1246 1248 1258 1243 1266 1252 1260 1257 1280 1257 1241 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1271 1268 1277"
33, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 35.125, "1244 1257 1257 1278 1257 1277 1248 1250 1243 1247 1259 1263 1273 1259 1240 1259 1253 1277 1276 1260 1260 1242 1243 1256 1242 1242 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1257 1275 1258 1247"
34, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 42.55, "1256 1252 1253 1242 1242 1246 1264 1273 1243 1266 1257 1260 1268 1269 1269 1259 1280 1253 1259 1259 1255 1280 1256 1261 1272 1247 1278 1245 1271 1245 1244 1254 1261 1252 1273 1265 1248 1272 1257 1272"
35, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 37.25, "1263 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1249 1273 1250 1247 1243 1262 1245 1268 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1257 1248 1241 1270 1250 1266 1272 1262 1260"
36, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 25.0, "1275 1265 1240 1248 1253 1262 1243 1255 1259 1275 1276 1255 1252 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1279 1266 1245 1240 1267 1257 1275 1258 1247"
37, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 28.625, "1242 1266 1255 1267 1257 1276 1264 1246 1250 1250 1247 1262 1251 1269 1243 1253 1263 1241 1240 1246 1263 1245 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1241 1244 1264 1250 1246 1251 1268 1267"
38, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 44.075, "1275 1254 1248 1262 1266 1264 1256 1263 1266 1255 1251 1275 1240 1250 1250 1269 1251 1266 1278 1257 1278 1273 1243 1247 1251 1263 1277 1259 1280 1275 1259 1269 1268 1254 1253 1269 1272 1264 1262 1272"
39, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 2, 32.15, "1263 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1256 1269 1264 1265 1269 1257 1280 1259"
40, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 25.0, "1275 1265 1240 1248 1253 1262 1243 1255 1259 1275 1276 1255 1252 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1279 1266 1245 1240 1267 1257 1275 1258 1247"
41, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 35.15, "1249 1258 1264 1242 1242 1246 1264 1273 1248 1245 1264 1259 1255 1273 1250 1247 1243 1242 1259 1246 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1240 1279 1266 1245 1274 1265 1269 1256 1252 1279"
42, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 37.225, "1278 1249 1262 1251 1276 1267 1246 1277 1258 1249 1259 1250 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1249 1254 1244 1241 1268 1278 1275 1243 1263 1274 1249 1275 1242 1256 1248 1243 1260"
43, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 32.325, "1262 1255 1253 1243 1249 1246 1248 1258 1243 1266 1252 1260 1257 1280 1257 1241 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1256 1261 1246 1269 1258 1254 1271 1268 1277"
44, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 28.675, "1244 1257 1257 1273 1257 1277 1240 1250 1243 1266 1276 1255 1252 1267 1264 1259 1278 1249 1243 1246 1272 1272 1247 1279 1262 1248 1253 1248 1271 1255 1245 1279 1266 1245 1240 1267 1257 1275 1258 1247"
45, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 40.525, "1253 1255 1253 1262 1279 1242 1264 1273 1248 1245 1264 1259 1249 1273 1250 1247 1243 1262 1245 1268 1270 1274 1242 1279 1271 1265 1271 1259 1264 1243 1267 1257 1248 1241 1270 1250 1266 1272 1262 1260"
46, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 30.25, "1244 1257 1257 1273 1257 1277 1248 1250 1243 1266 1261 1270 1269 1259 1240 1259 1253 1277 1276 1260 1260 1242 1243 1256 1242 1267 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1257 1275 1258 1247"
47, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 30.35, "1242 1266 1255 1267 1257 1276 1264 1266 1250 1250 1247 1262 1251 1269 1243 1253 1263 1241 1240 1246 1263 1245 1257 1249 1254 1244 1241 1277 1255 1280 1244 1240 1261 1246 1269 1258 1276 1244 1268 1279"
48, TournamentSelection, FastSinglePointCrossover, PerGeneMutation, SumOfDiffEvaluation2, GenerationTermination, True, 3, 28.0, "1263 1252 1253 1242 1242 1246 1264 1273 1248 1245 1264 1259 1266 1247 1250 1242 1277 1243 1261 1245 1259 1268 1257 1256 1242 1267 1258 1268 1278 1275 1243 1263 1252 1249 1275 1242 1256 1248 1243 1260"
